COUNT  CLUSTER-ID             CLUSTER-SIZE  |MACHINE-EVAL           |MACHINE-MIN-EVAL       |MACHINE-AVG-EVAL       |MACHINE-ALL-EVAL       |HUMAN-EVAL  |HAS-CYCLE   NOT GOOD  CYCLE  |COMMENT                |RESOURCES              
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26349503p4                     | Marriage003                         | Teunes, Marritje                    | 1649-07-08                          | Hendrickxsz, Hendrick               |                                     |                                     | Teunes, Marritje                    |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26375518p2                     | Marriage003                         | Teunis, Marritje                    | 1640-03-24                          | Malack, Gideon                      | Teunis, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26375518p2                     | Marriage003                         | Teunis, Marritje                    | 1640-03-24                          | Mulat, Gideon                       | Teunis, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26391334p2                     | Marriage003                         | Teunis, Marritje                    | 1637-04-02                          | Simsen, Jan                         | Teunis, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26391334p2                     | Marriage003                         | Teunis, Marritje                    | 1637-04-02                          | Sijmonss, Jan                       | Teunis, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26401493p2                     | Marriage003                         | Teunis, Marritje                    | 1619-01-26                          |                                     | Teunis, Marritje                    | Diephout, Lubbert [van]             |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26542504p2                     | Marriage003                         | Teunis, Marritje                    | 1639-09-15                          |                                     | Teunis, Marritje                    | Jacobse, Pieter                     |                                     |                                     |                                     |                                     |                                     |                                     |

214    N3986027745247540428   2             |-BAD [0.667]-          |-BAD [0.625]-          |-BAD [0.625]-          |-BAD [0.646]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24642473p2                     | Baptism002                          | Arminius, Lourens                   |                                     | Arminius, Lourens                   | Pieters, Neeltjen                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1638-11-07
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |9089                                | Ecartico                            | Arminius, Laurens                   | 1627-01-01                          | Arminius, Laurens                   | Cuypers, Cornelia Pieters           |                                     |                                     |                                     |                                     |                                     | 1646-06-02                          | 1601-01-01                          |

215    N8018604589349964764   2             |-BAD [0.667]-          |-BAD [0.6]-            |-BAD [0.6]-            |-BAD [0.633]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |11199                               | Ecartico                            | Waesberghe, Jan [van]               | 1613-10-27                          | Waesberghe, Jan [van]               | Hoeven, Maria Laurensdr [van der]   |                                     |                                     |                                     |                                     |                                     | 1633-02-27                          | 1588-02-26                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |11199                               | Ecartico                            | Waesberghe, Jan [van]               | 1621-03-15                          | Waesberghe, Jan [van]               | Hoeven, Maria Laurensdr [van der]   |                                     |                                     |                                     |                                     |                                     | 1633-02-27                          | 1588-02-26                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26398911p1                     | Marriage003                         | Waesbergen, Jan [van]               | 1642-07-02                          | Waesbergen, Jan [van]               | Jans, Elisabet                      |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

216    N44704902299052813     2             |-BAD [0.667]-          |-BAD [0.623]-          |-BAD [0.623]-          |-BAD [0.643]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |8263                                | Ecartico                            | Wijnants, Jacob                     | 1611-01-01                          | Wijnants, Jacob                     | Serooskercke, Jacobmynken Jans [van] |                                     |                                     |                                     |                                     |                                     | 1637-01-01                          |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26403976p1                     | Marriage003                         | Wijnantss, Jacob                    | 1641-09-21                          | Wijnantss, Jacob                    | Jans, Saartje                       |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

217    N5343485988766032013   2             |-BAD [0.667]-          |-BAD [0.635]-          |-BAD [0.635]-          |-BAD [0.65]-           |-G-         |no         -OK-              |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId24512802p2                     | Baptism002                          | Jansz Pilorius, Willem              |                                     | Jansz Pilorius, Willem              | Jacobs, Jannetje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1638-09-07
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |15356                               | Ecartico                            | Pilorius, Willem Jans               | 1636-11-01                          | Pilorius, Willem Jans               | Melier, Jannetie Jacobs             |                                     |                                     |                                     |                                     |                                     |                                     | 1614-11-06                          |

218    N4626516305519533748   2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-G-         |no         -OK-              |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |23511                               | Ecartico                            | Duren, Oeda [van]                   | 1605-01-01                          | Nerven, Geraert [van]               | Duren, Oeda [van]                   |                                     |                                     |                                     |                                     |                                     | 1605-06-09                          |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26379496p3                     | Marriage003                         | Duren, Oeda [van]                   | 1605-06-09                          | Nerven, Gerard [van]                |                                     |                                     | Duren, Oeda [van]                   |                                     |                                     |                                     |                                     |                                     |

219    N3567878201036485331   2             |-BAD [0.667]-          |-BAD [0.616]-          |-BAD [0.616]-          |-BAD [0.64]-           |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |8544                                | Ecartico                            | Victors, Louis                      | 1633-06-11                          | Victors, Louis                      | Pauw, Marritje Jacobs               |                                     |                                     |                                     |                                     |                                     | 1658-01-01                          | 1585-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |8544                                | Ecartico                            | Victors, Louis                      | 1608-03-22                          | Victors, Louis                      | Jaspers, Styntjen                   |                                     |                                     |                                     |                                     |                                     | 1658-01-01                          | 1585-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |8544                                | Ecartico                            | Victors, Louis                      | 1633-06-11                          | Victors, Louis                      | Jaspers, Styntjen                   |                                     |                                     |                                     |                                     |                                     | 1658-01-01                          | 1585-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |8544                                | Ecartico                            | Victors, Louis                      | 1608-03-22                          | Victors, Louis                      | Pauw, Marritje Jacobs               |                                     |                                     |                                     |                                     |                                     | 1658-01-01                          | 1585-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26398253p1                     | Marriage003                         | Fictors, Louis                      | 1633-06-11                          | Victor, Louis                       | Jacobs, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26398253p1                     | Marriage003                         | Fictors, Louis                      | 1633-06-11                          | Fictors, Louis                      | Jacobs, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26398253p1                     | Marriage003                         | Victor, Louis                       | 1633-06-11                          | Victor, Louis                       | Jacobs, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26398253p1                     | Marriage003                         | Victor, Louis                       | 1633-06-11                          | Fictors, Louis                      | Jacobs, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

220    N7013002187675117055   3             |-BAD [0.223]-          |-BAD [0.209]-          |-BAD [0.216]-          |-BAD [0.227]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24468905p1                     | Baptism002                          | Daniels, Grietjen                   |                                     | Jansz, Heindrick                    | Daniels, Grietjen                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1633-07-28
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |13495                               | Ecartico                            | Grietje Daniels                     | 1619-03-09                          |                                     | Grietje Daniels                     |                                     |                                     |                                     |                                     |                                     | 1653-01-01                          | 1597-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26402919p2                     | Marriage003                         | Daniels, Grietje                    | 1611-10-01                          | Wulle, Lambert Jansz                | Daniels, Grietje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26402919p2                     | Marriage003                         | Daniels, Grietje                    | 1611-10-01                          | Jansz, Lambert                      | Daniels, Grietje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

221    N7838924148729187946   3             |-BAD [0.223]-          |-BAD [0.201]-          |-BAD [0.202]-          |-BAD [0.232]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24249028p1                     | Baptism002                          | Jans, Risje                         |                                     | Artsz, Jan                          | Jans, Risje                         |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1643-03-15
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24729780p1                     | Baptism002                          | Jans, Rinske                        |                                     | Gerritsz, Jan                       | Jans, Rinske                        |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1605-10-23
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |23238                               | Ecartico                            | Riske Jans                          | 1601-11-17                          | Bosschaert, Joost                   | Riske Jans                          |                                     |                                     |                                     |                                     |                                     |                                     | 1582-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |23238                               | Ecartico                            | Riske Jans                          | 1601-11-17                          | Baert Heynrixsz                     | Riske Jans                          |                                     |                                     |                                     |                                     |                                     |                                     | 1582-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |23238                               | Ecartico                            | Riske Jans                          | 1608-08-09                          | Baert Heynrixsz                     | Riske Jans                          |                                     |                                     |                                     |                                     |                                     |                                     | 1582-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |23238                               | Ecartico                            | Riske Jans                          | 1608-08-09                          | Bosschaert, Joost                   | Riske Jans                          |                                     |                                     |                                     |                                     |                                     |                                     | 1582-01-01                          |

222    N8574376315169701747   4             |-GOOD [1.0]-           |-GOOD [0.944]-         |-GOOD [0.972]-         |-GOOD [0.979]-         |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |11033                               | Ecartico                            | Jannetje Hendricks                  | 1622-03-05                          | Doeckman, Abraham Hendricksz        | Jannetje Hendricks                  |                                     |                                     |                                     |                                     |                                     | 1666-02-12                          | 1594-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26359375p2                     | Marriage003                         | Hendriks, Jannetje                  | 1642-06-14                          | Jansz, Christiaan                   | Hendriks, Jannetje                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26384432p2                     | Marriage003                         | Hendriks, Jannetje                  | 1641-06-08                          | Pietersz, Jan                       | Hendriks, Jannetje                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26544334p2                     | Marriage003                         | Hendriks, Jannetje                  | 1639-09-24                          |                                     | Hendriks, Jannetje                  | Andriesz, Jan                       |                                     |                                     |                                     |                                     |                                     |                                     |

223    N3900556120363377215   2             |-BAD [0.667]-          |-BAD [0.641]-          |-BAD [0.641]-          |-BAD [0.653]-          |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId24512521p2                     | Baptism002                          | Jansz Hagen, Jan [van der]          |                                     | Jansz Hagen, Jan [van der]          | Davits, Janneken                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1624-08-20
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |14245                               | Ecartico                            | Haegen, Jan Jansz [van der]         | 1623-03-10                          | Haegen, Jan Jansz [van der]         | Jannetje Davits                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

224    N9014445274132036347   4             |-GOOD [1.0]-           |-GOOD [0.929]-         |-GOOD [0.952]-         |-GOOD [0.969]-         |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |8805                                | Ecartico                            | Gerrits, Maria                      | 1649-07-03                          | Spilberg, Johan                     | Gerrits, Maria                      |                                     |                                     |                                     |                                     |                                     |                                     | 1622-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26367690p2                     | Marriage003                         | Sijgersma, Maria Gerrits            | 1646-10-20                          | Jansoon, Pieter                     | Gerritsz, Maria                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26367690p2                     | Marriage003                         | Sijgersma, Maria Gerrits            | 1646-10-20                          | Jansoon, Pieter                     | Sijgersma, Maria Gerrits            |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26367690p2                     | Marriage003                         | Sijgersma, Maria Gerrits            | 1646-10-20                          | Jansz, Pieter                       | Gerritsz, Maria                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26367690p2                     | Marriage003                         | Sijgersma, Maria Gerrits            | 1646-10-20                          | Jansz, Pieter                       | Sijgersma, Maria Gerrits            |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26367690p2                     | Marriage003                         | Gerritsz, Maria                     | 1646-10-20                          | Jansoon, Pieter                     | Gerritsz, Maria                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26367690p2                     | Marriage003                         | Gerritsz, Maria                     | 1646-10-20                          | Jansoon, Pieter                     | Sijgersma, Maria Gerrits            |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26367690p2                     | Marriage003                         | Gerritsz, Maria                     | 1646-10-20                          | Jansz, Pieter                       | Gerritsz, Maria                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26367690p2                     | Marriage003                         | Gerritsz, Maria                     | 1646-10-20                          | Jansz, Pieter                       | Sijgersma, Maria Gerrits            |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26377936p2                     | Marriage003                         | Gerritsz, Maria                     | 1649-04-17                          |                                     | Gerritsz, Maria                     | Adriaens, Cornelis                  |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26401669p2                     | Marriage003                         | Gerrits, Maria                      | 1623-11-23                          | Willemss, Jan                       | Gerrits, Maria                      |                                     | Jans, IJtje                         |                                     |                                     |                                     |                                     |                                     |
