COUNT  CLUSTER-ID             CLUSTER-SIZE  |MACHINE-EVAL           |MACHINE-MIN-EVAL       |MACHINE-AVG-EVAL       |MACHINE-ALL-EVAL       |HUMAN-EVAL  |HAS-CYCLE   NOT GOOD  CYCLE  |COMMENT                |RESOURCES              
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26334076p1                     | Marriage003                         | Dam, Harman Pieterss                | 1620-08-19                          | Dam, Harman Pieterss                | Claas, Jannetje                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

10     N4871635839391268196   4             |-GOOD [1.0]-           |-GOOD [0.941]-         |-GOOD [0.951]-         |-GOOD [0.972]-         |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |20118                               | Ecartico                            | Pieter Jeuriaens                    | 1640-01-01                          | Pieter Jeuriaens                    | Beatrix Symons                      |                                     |                                     |                                     |                                     |                                     | 1687-01-01                          | 1640-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26386340p3                     | Marriage003                         | Jeuriaensz, Pieter                  | 1619-04-20                          |                                     | Jans, Marie                         | Jeuriaensz, Pieter                  |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26543274p1                     | Marriage003                         | Jeuriaenss, Pieter                  | 1641-10-04                          | Jurgens, Peter                      | Pieters, Anna                       |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26543274p1                     | Marriage003                         | Jeuriaenss, Pieter                  | 1641-10-04                          | Jeuriaenss, Pieter                  | Pieters, Anna                       |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26543274p1                     | Marriage003                         | Jurgens, Peter                      | 1641-10-04                          | Jurgens, Peter                      | Pieters, Anna                       |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26543274p1                     | Marriage003                         | Jurgens, Peter                      | 1641-10-04                          | Jeuriaenss, Pieter                  | Pieters, Anna                       |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26550739p1                     | Marriage003                         | Jeuriaenss, Pieter                  | 1643-12-05                          | Jeuriaenss, Pieter                  |                                     |                                     | Jans, Anne                          |                                     |                                     |                                     |                                     |                                     |
